Date,Open,High,Low,Close,Volume
2015-12-31,15.73,15.783,15.562000000000001,15.562000000000001,50904304
2015-12-30,15.905999999999999,15.942,15.755999999999998,15.765999999999998,37876955
2015-12-29,15.950999999999999,16.045,15.87,15.977,49344403
2015-12-28,15.923,15.932,15.700999999999999,15.84,45138065
2015-12-24,16.015,16.072,15.923,15.97,31765220
2015-12-23,15.87,16.035,15.812000000000001,16.035,71126141
2015-12-22,15.765999999999998,15.821,15.581,15.792,60734034
2015-12-21,15.700999999999999,15.747,15.508,15.693,70455223
2015-12-18,15.897,15.960999999999999,15.499,15.499,147872019
2015-12-17,16.46,16.487000000000002,15.995999999999999,15.995999999999999,105185810
2015-12-16,16.320999999999998,16.442,15.932,16.415,185547665
2015-12-15,15.738,16.174,15.710999999999999,16.107,107858450
2015-12-14,15.499,15.617,15.257,15.535,130931746
2015-12-11,15.693,15.776,15.386,15.470999999999998,98954732
2015-12-10,15.86,16.098,15.684000000000001,15.905999999999999,73964239
2015-12-09,15.821,16.072,15.597999999999999,15.812000000000001,89129097
2015-12-08,16.08,16.145,15.84,15.897,91784520
2015-12-07,16.451,16.46,16.125,16.221,88280502
2015-12-04,16.125,16.487000000000002,16.072,16.46,111410502
2015-12-03,16.349,16.433,15.950999999999999,15.995999999999999,103595922
2015-12-02,16.535,16.544,16.229,16.291,83121321
2015-12-01,16.156,16.424,16.118,16.424,80632435
2015-11-30,16.118,16.213,16.064,16.073,67121884
2015-11-27,16.099,16.136,15.978,16.118,24875078
2015-11-25,16.146,16.204,16.055999999999997,16.08,37890369
2015-11-24,15.915,16.204,15.907,16.108,63684759
2015-11-23,16.249000000000002,16.349,16.099,16.108,54617159
2015-11-20,16.424,16.442,16.222,16.273,61043090
2015-11-19,16.395,16.46,16.249000000000002,16.311,56207821
2015-11-18,16.073,16.477,16.073,16.451,92948268
2015-11-17,16.136,16.23,15.987,16.064,76442921
2015-11-16,15.794,16.099,15.686,16.073,76329815
2015-11-13,15.794,15.962,15.758,15.862,112323984
2015-11-12,16.213,16.257,15.997,16.016,84427025
2015-11-11,16.588,16.588,16.301,16.367,64238706
2015-11-10,16.257,16.544,16.194000000000003,16.46,64966061
2015-11-09,16.624000000000002,16.672,16.194000000000003,16.301,140895405
2015-11-06,16.451,16.680999999999997,16.377,16.552,171387266
2015-11-05,15.703,16.016,15.703,15.962,92728223
2015-11-04,15.952,15.962,15.639000000000001,15.686,85340765
2015-11-03,15.686,15.915,15.668,15.842,71712969
